Project,DateTime,Annotation,Average Above PAR,Average Below PAR,Tau [Τ],Leaf Area Index [LAI],Leaf Distribuition [Χ],Beam Fraction [Fb],Zenith Angle,Latitude,Longitude
REU2018,7/10/2018 13:22,RPLMID1,1586.1,389.4,0.146,1.86,1,0.79,24,46,-85
REU2018,7/10/2018 13:33,RPLMID2,1633.4,412.5,0.251,3.15,1,0.81,24,46,-85
REU2018,7/10/2018 13:47,RPLMID3,1747.8,400.9,0.228,3.14,1,0.85,24,46,-85
REU2018,7/11/2018 13:07,RP73-2,1650.5,578.5,0.349,2.64,1,0.82,25,46,-85
REU2018,7/11/2018 13:17,RP73-3,1686.6,410.4,0.242,3.12,1,0.83,24,46,-85
REU2018,7/11/2018 13:38,RPLT-1,1705.8,379.9,0.221,3.44,1,0.84,24,46,-85
REU2018,7/11/2018 13:47,RPLT-2,1770.4,551.9,0.31,2.8,1,0.86,24,46,-85
REU2018,7/11/2018 13:58,RPLT-3,1661.2,335.7,0.201,3.42,1,0.82,24,46,-85
REU2018,7/17/2018 13:28,BS42C,1788.7,323.7,0.077,1.68,1,0.87,25,46,-85
REU2018,7/17/2018 14:05,BS42A,1818.6,259.7,0.071,2.04,1,0.88,25,46,-85
REU2018,7/18/2018 12:53,AC104,1757.7,217.4,0.123,4.87,1,0.87,27,46,-85
REU2018,7/18/2018 13:02,AC103,1761.8,151.4,0.085,5.62,1,0.87,26,46,-85
REU2018,7/18/2018 13:23,RP47-1,1784.4,266.8,0.148,4.84,1,0.87,25,46,-85
REU2018,7/18/2018 13:36,RP47-2,1810.2,159.9,0.087,5.78,1,0.87,25,46,-85
REU2018,7/18/2018 13:42,RP47-3,1804.3,286.4,0.158,4.43,1,0.87,25,46,-85
REU2018,7/18/2018 14:25,BS42B,1783.6,211.1,0.118,5.18,1,0.87,26,46,-85
REU2018,7/18/2018 14:34,BS42A,1761.7,187.4,0.105,5.4,1,0.87,27,46,-85
REU2018,7/18/2018 14:41,BS42C,1761.9,294.7,0.166,4.49,1,0.87,27,46,-85
REU2018,7/18/2018 15:04,RPL-1,1739.1,137.8,0.078,5.71,1,0.87,29,46,-85
REU2018,7/18/2018 15:11,RPL-3,1735.8,188.9,0.108,5.19,1,0.88,30,46,-85
REU2018,7/18/2018 15:22,RPL-2,1736.9,244.3,0.139,4.56,1,0.89,32,46,-85
REU2018,7/19/2018 13:24,BS40F,1666.6,210.3,0.119,4.68,1,0.83,25,46,-85
REU2018,7/19/2018 13:27,BS40E,1637.8,178.4,0.108,4.83,1,0.82,25,46,-85
REU2018,7/19/2018 13:29,BS40X,1712.4,244.4,0.142,4.74,1,0.84,25,46,-85
REU2018,7/19/2018 14:04,CP1,1743.6,111.2,0.063,6.95,1,0.85,25,46,-85
REU2018,7/19/2018 14:07,CP2,1763.4,368.8,0.207,4.93,1,0.86,25,46,-85
REU2018,7/19/2018 14:12,CP3,1723.3,199.5,0.114,6.05,1,0.85,26,46,-85
REU2018,7/19/2018 14:39,RPLOLD1,1861.9,331.3,0.177,4.14,1,0.91,27,46,-85
REU2018,7/24/2018 16:44,RPLOLD1A,1305.5,169.3,0.129,3.63,1,0.83,44,46,-85
REU2018,7/24/2018 16:49,RPLOLD2,1187.8,83,0.068,4.26,1,0.78,45,46,-85
forte,7/25/2018 10:45,D01W,1275.7,61.8,0.048,4.65,1,0.82,45,46,-85
forte,7/25/2018 10:56,D03W,1304.6,98.3,0.074,4.7,1,0.82,43,46,-85
forte,7/25/2018 11:07,D04W,1304.8,345.4,0.264,2.83,1,0.82,42,46,-85
forte,7/25/2018 11:17,D02W,1367.1,58,0.042,5.4,1,0.81,40,46,-85
forte,7/25/2018 11:24,C04W,1439.2,40.6,0.028,6.06,1,0.83,39,46,-85
forte,7/25/2018 11:34,C03W,1383.1,43.5,0.03,6.29,1,0.8,38,46,-85
forte,7/25/2018 11:45,C02W,1464.3,49.5,0.034,5.94,1,0.82,36,46,-85
forte,7/25/2018 11:52,C01W,1475.4,116,0.079,4.99,1,0.82,35,46,-85
forte,7/25/2018 13:25,B04W,1708.1,61.7,0.035,6.77,1,0.85,26,46,-85
forte,7/25/2018 13:36,B03E,1768.2,110.1,0.061,6.36,1,0.87,26,46,-85
forte,7/25/2018 13:45,B02W,1653.7,96.6,0.057,6.73,1,0.83,26,46,-85
forte,7/25/2018 13:56,B01W,1599.9,49.6,0.03,7.31,1,0.81,26,46,-85
forte,7/25/2018 14:23,A03W,1594.4,47.2,0.029,6.61,1,0.82,27,46,-85
forte,7/25/2018 14:35,A04W,1567.8,44.6,0.028,7.25,1,0.81,28,46,-85
forte,7/25/2018 14:46,A02W,1620.4,69.9,0.043,6.67,1,0.83,29,46,-85
forte,7/25/2018 15:02,A01W,1619.5,77.4,0.052,6.44,1,0.89,30,46,-85
REU2018,7/28/2018 11:01,RP32-1,1324.8,58.3,0.042,5.18,1,0.84,43,46,-85
REU2018,7/28/2018 11:23,DNR1987-2,1449.3,98.5,0.067,4.76,1,0.84,40,46,-85
REU2018,7/28/2018 11:30,DNR1987-3,1454.4,125.7,0.086,4.54,1,0.83,39,46,-85
REU2018,7/28/2018 11:38,DNR1987-1,1488.7,225.7,0.149,3.89,1,0.85,38,46,-85
REU2018,7/28/2018 11:59,RPL10,1488.9,259.6,0.173,3.45,1,0.82,35,46,-85
REU2018,7/28/2018 12:03,RPL11,1435.8,116.9,0.08,4.77,1,0.79,34,46,-85
REU2018,7/28/2018 12:07,RPL12,1487.6,189.5,0.126,4.28,1,0.81,34,46,-85
REU2018,7/28/2018 13:28,AC107,1672.4,268.7,0.16,3.98,1,0.84,27,46,-85
ltreb,7/9/2019 14:25,7104,942.5,41.6,0.043,5.04,1,0.3,26,48,-89
ltreb,7/9/2019 14:28,7105,927.7,46.9,0.049,4.2,1,0.27,26,48,-89
ltreb,7/9/2019 14:33,7106,965,189.4,0.195,3.33,1,0.31,26,48,-89
ltreb,7/9/2019 14:59,7102,944.8,30.4,0.031,5.2,1,0.3,28,48,-89
ltreb,7/9/2019 15:02,7103,1019,22.4,0.021,5.5,1,0.39,28,48,-89
ltreb,7/9/2019 15:11,7101,985.7,65,0.065,4.09,1,0.36,29,48,-89
defcan,7/11/2019 10:33,0-10W,142.5,75,0.525,0.78,1,0.02,49,48,-89
defcan,7/11/2019 10:38,10-20W,114.8,44.1,0.381,1.28,1,0.02,48,48,-89
defcan,7/11/2019 13:47,0-10E,1638.4,282.5,0.172,3.42,1,0.82,26,48,-89
defcan,7/11/2019 14:19,0-10E-3,1617.6,206.7,0.127,4.19,1,0.82,26,48,-89
defcan,7/11/2019 14:28,0-10E-5,1643.5,146.2,0.089,5.02,1,0.83,26,48,-89
defcan,7/11/2019 14:36,0-10E-7,1745.2,86.6,0.049,5.64,1,0.86,27,48,-89
defcan,7/11/2019 14:41,0-10E-9,1670.1,64.6,0.038,6.01,1,0.84,27,48,-89
defcan,7/11/2019 14:42,20-30W-1,1652.9,205.1,0.124,4.6,1,0.83,27,48,-89
defcan,7/11/2019 14:47,20-30W-3,1655.8,225.6,0.136,4.48,1,0.84,27,48,-89
defcan,7/11/2019 14:50,20-30W-5,1628.1,205.5,0.126,4.89,1,0.83,28,48,-89
defcan,7/11/2019 14:54,20-30W-7,1636.8,299.4,0.183,4.12,1,0.83,28,48,-89
defcan,7/12/2019 12:18,20-30W-7B,1678,75.7,0.045,6.45,1,0.88,33,48,-89
defcan,7/12/2019 12:23,20-30W-9,1659.2,58.8,0.035,6.09,1,0.87,32,48,-89
defcan,7/12/2019 12:25,30-40E-1,1674.1,496.3,0.296,3.26,1,0.87,32,48,-89
defcan,7/12/2019 12:27,30-40E-3,1626.1,400.1,0.244,4.01,1,0.85,32,48,-89
defcan,7/12/2019 12:29,30-40E-5,1693.9,285.3,0.168,4.64,1,0.87,32,48,-89
defcan,7/12/2019 12:31,30-40E-7,1642.1,44.5,0.027,6.28,1,0.85,32,48,-89
defcan,7/12/2019 12:33,30-40E-9,1663.9,84.4,0.051,6.22,1,0.86,31,48,-89
defcan,7/12/2019 12:35,50-60E-1,1676.7,113.5,0.068,5.24,1,0.86,31,48,-89
defcan,7/12/2019 12:38,50-60E-3,1650.4,59.2,0.036,5.97,1,0.85,31,48,-89
defcan,7/12/2019 12:39,50-60E-5,1642.2,236.3,0.144,4.24,1,0.85,31,48,-89
defcan,7/12/2019 12:41,50-60E-7,1653.2,61.3,0.037,6.39,1,0.85,30,48,-89
defcan,7/12/2019 12:42,50-60E-9,1648.7,43.8,0.026,6.95,1,0.85,30,48,-89
defcan,7/12/2019 12:44,70-80W-1,1670.3,498.6,0.298,2.75,1,0.86,30,48,-89
defcan,7/12/2019 12:45,70-80W-3,1678.3,46.5,0.027,6.54,1,0.86,30,48,-89
defcan,7/12/2019 12:47,70-80W-5,1679.1,130.3,0.078,5.05,1,0.86,30,48,-89
defcan,7/12/2019 12:48,70-80W-7,1689.3,161.7,0.095,5.16,1,0.86,30,48,-89
defcan,7/12/2019 12:49,70-80W-9,1670.2,73.2,0.044,5.91,1,0.85,30,48,-89
defcan,7/12/2019 12:51,20-30W-1B,1653.9,236.9,0.143,4.53,1,0.85,29,48,-89
defcan,7/12/2019 12:56,20-30W-3B,1673.2,122.8,0.073,5.4,1,0.85,29,48,-89
defcan,7/12/2019 12:58,20-30W-5B,1677.3,213.4,0.127,5.54,1,0.85,29,48,-89
defcan,7/12/2019 13:01,0-10E-1B,1681.5,150.7,0.089,4.67,1,0.85,29,48,-89
defcan,7/12/2019 13:04,0-10E-3B,1692.7,82.7,0.049,5.95,1,0.85,28,48,-89
defcan,7/12/2019 13:07,0-10E-5B,1695.8,125.7,0.074,6.02,1,0.85,28,48,-89
defcan,7/12/2019 13:10,0-10E-7B,1687.9,53.7,0.032,6.42,1,0.85,28,48,-89
defcan,7/12/2019 13:13,0-10E-9B,1689.2,43.8,0.026,6.69,1,0.85,28,48,-89
forte,7/14/2019 12:20,B02W,1668.9,160.4,0.095,5.35,1,0.86,31,46,-87
forte,7/14/2019 12:23,B02E,1625.5,116,0.072,6.17,1,0.84,30,46,-87
forte,7/14/2019 12:29,B01W,1628.3,24,0.014,7.71,1,0.84,30,46,-87
forte,7/14/2019 12:32,B01E,1643.1,58.6,0.035,6.54,1,0.84,29,46,-87
forte,7/14/2019 12:36,B03W,1638.7,156.9,0.095,6.07,1,0.84,29,46,-87
forte,7/14/2019 12:39,B03E,1675.7,146.3,0.086,5.74,1,0.85,28,46,-87
forte,7/14/2019 12:42,B04W,1649,130,0.078,5.75,1,0.84,28,46,-87
forte,7/14/2019 12:46,B04E,1651.4,113.8,0.069,6.08,1,0.84,28,46,-87
forte,7/14/2019 13:13,C01W,1679,125.8,0.074,5.29,1,0.84,26,46,-87
forte,7/14/2019 13:15,C01E,1652.8,151.7,0.091,5.16,1,0.83,25,46,-87
forte,7/14/2019 13:27,C02E,1643.6,104.6,0.062,5.89,1,0.82,25,46,-87
forte,7/14/2019 13:31,C02W,1628.6,177.7,0.109,5.25,1,0.81,25,46,-87
forte,7/14/2019 13:34,C03W,1661.9,155,0.093,5.21,1,0.82,24,46,-87
forte,7/14/2019 13:40,C03E,1688.3,177.9,0.105,4.99,1,0.83,24,46,-87
forte,7/14/2019 13:46,C04W,1707.5,125.6,0.072,5.43,1,0.84,24,46,-87
forte,7/14/2019 13:50,C04E,1691.8,234.8,0.142,4.2,1,0.82,24,46,-87
forte,7/14/2019 13:57,D04E,1789,632.5,0.353,2.97,1,0.86,24,46,-87
forte,7/14/2019 14:03,D04W,1718.4,572.7,0.332,3.35,1,0.84,24,46,-87
forte,7/14/2019 14:09,D02E,1712.2,358.1,0.208,3.83,1,0.84,24,46,-87
forte,7/14/2019 14:12,D02W,1733.8,451,0.259,3.1,1,0.85,24,46,-87
forte,7/14/2019 14:18,D03W,1744.8,284.6,0.162,4.49,1,0.85,25,46,-87
forte,7/14/2019 14:20,D03E,1700.3,321.8,0.187,4.04,1,0.84,25,46,-87
forte,7/14/2019 14:29,D01E,1662,190.2,0.113,4.66,1,0.83,25,46,-87
forte,7/14/2019 14:31,D01W,1722.3,284,0.164,4.61,1,0.85,25,46,-87
ltreb,7/17/2019 15:26,CP006,1509.5,81.9,0.053,6.27,1,0.8,31,46,-87
ltreb,7/17/2019 15:30,CP009,1509.6,26.3,0.016,7.42,1,0.81,32,46,-87
ltreb,7/17/2019 15:34,CP010,1567.4,104.7,0.066,6.16,1,0.83,32,46,-87
defcan,7/22/2019 11:33,0-10E-1A,1334,154.6,0.115,4.07,1,0.78,38,46,-87
defcan,7/22/2019 11:38,0-10E-3A,1341.9,62.5,0.046,5.07,1,0.78,38,46,-87
defcan,7/22/2019 11:41,0-10E-5A,1335.6,41.1,0.03,5.45,1,0.77,37,46,-87
defcan,7/22/2019 11:44,0-10E-7A,1365.8,72.5,0.053,5.21,1,0.78,37,46,-87
defcan,7/22/2019 11:50,0-10E-9A,1437.6,146.1,0.101,5.2,1,0.81,36,46,-87
defcan,7/22/2019 11:55,20-30W-1A,1447.3,101.2,0.07,4.72,1,0.81,35,46,-87
defcan,7/22/2019 12:02,20-30W-3A,1479.2,153.2,0.104,4.61,1,0.81,34,46,-87
defcan,7/22/2019 12:04,20-30W-5A,1470.8,129.1,0.087,4.7,1,0.81,34,46,-87
defcan,7/22/2019 12:06,20-30W-7A,1488.4,132.9,0.089,4.94,1,0.81,34,46,-87
defcan,7/22/2019 12:10,20-30W-9A,1538.8,80.9,0.053,5.23,1,0.83,33,46,-87
defcan,7/22/2019 12:12,30-40W-1A,1519,521.6,0.343,2.47,1,0.82,33,46,-87
defcan,7/22/2019 12:15,30-40W-3A,1579.7,357.4,0.228,3.31,1,0.84,33,46,-87
defcan,7/22/2019 12:17,30-40E-5A,1548.5,220.3,0.142,4.19,1,0.83,32,46,-87
defcan,7/22/2019 12:19,30-40E-7A,1526.6,152.2,0.099,4.87,1,0.82,32,46,-87
defcan,7/22/2019 12:22,30-40E-9A,1534.1,64.8,0.042,5.87,1,0.82,32,46,-87
forte,8/9/2019 12:45,2019A03E,1555.7,78.5,0.05,5.42,1,0.83,33,46,-87
forte,8/9/2019 12:50,2019A03W,1525.3,78,0.05,5.43,1,0.82,33,46,-87
forte,8/9/2019 13:06,2019A01E,1624,202.3,0.126,4.59,1,0.84,32,46,-87
forte,8/10/2019 11:45,2019A01W,1436.7,53.2,0.038,6.07,1,0.84,40,46,-87
forte,8/10/2019 12:01,2019A02W,1512.5,40.5,0.026,6.15,1,0.85,38,46,-87
forte,8/10/2019 12:05,2019A02E,1461,30.5,0.02,7.2,1,0.83,38,46,-87
forte,8/10/2019 12:16,2019A04E,1483.8,52.2,0.035,6.62,1,0.83,36,46,-87
forte,8/10/2019 12:21,2019A04W,1421.1,28.7,0.021,6.48,1,0.8,36,46,-87
