plot,subplot,date,width_end1_cm,width_mid_cm,width_end2_cm,length_m,decay_class,tag_number,initials
C03,E,7/9/2019,12.1,14,16,9.05,1,1267,AB
C03,E,7/9/2019,11.1,12.2,15.2,5.1,4,na,AB
C03,E,7/9/2019,10.5,11.4,12.5,2.75,5,na,AB
C03,E,7/9/2019,10.8,8.9,6.7,1.35,4,na,AB
C03,E,7/9/2019,11.5,10.7,8,5.48,2,na,AB
C03,E,7/9/2019,11,10.9,10.6,2.42,2,na,AB
C03,E,7/9/2019,18.5,11.9,12,3.19,3,na,AB
C03,E,7/9/2019,11.5,13.2,10,2.65,3,na,AB
C03,E,7/9/2019,16.9,15.3,18.5,3.7,2,na,AB
C03,E,7/9/2019,19.5,18.6,16.6,4.1,3,na,AB
C03,E,7/9/2019,12.5,17,17.1,1,4,na,AB
C03,E,7/9/2019,16.5,15.2,19.7,3.82,3,na,AB
C03,E,7/9/2019,28.2,33.3,43.3,2.76,5,na,AB
C03,E,7/9/2019,35,27,28,2.76,5,na,AB
C03,E,7/9/2019,22.8,18.3,21,2.55,3,na,AB
C03,E,7/9/2019,19.6,20.9,15.7,2.9,4,na,AB
C03,E,7/9/2019,19,16.8,16.2,1.4,5,na,AB
C03,E,7/9/2019,13.2,11.4,3.5,7.19,2,na,AB
C03,E,7/9/2019,5,12,21.3,11.1,4,na,AB
C03,E,7/9/2019,9.3,10,11.5,1.96,3,na,AB
C03,E,7/9/2019,8,10.6,10.7,1.72,3,na,AB
C03,E,7/9/2019,10.1,8.8,2.9,7.2,3,na,AB
C03,E,7/9/2019,14.5,21.5,17.5,1.5,5,na,AB
C03,E,7/9/2019,16.2,8.1,5.1,8.47,4,na,AB
C03,E,7/9/2019,13.6,11,3.6,11.6,2,na,AB
C03,E,7/9/2019,17.9,12.2,4.3,10.04,2,na,AB
C03,E,7/9/2019,8.9,8.3,8,2.2,2,na,AB
C03,E,7/9/2019,13.2,9.5,4.4,12.29,1,1338,AB
C03,E,7/9/2019,12.9,13,10.2,0.6,3,na,AB
C03,E,7/9/2019,13,17,10.5,0.55,3,na,AB
C03,E,7/9/2019,10.3,11.3,12.1,0.71,2,na,AB
C04,W,7/10/2019,10.7,10.5,4.4,11.81,3,na,LH
C04,W,7/10/2019,17,9.2,3.6,12.26,2,na,LH
C04,W,7/10/2019,14.2,10.4,3.7,14.15,3,na,LH
C04,W,7/10/2019,10.6,8,3.9,9.03,3,na,LH
C04,W,7/10/2019,11.5,8.6,2.2,7.84,3,na,LH
C04,W,7/10/2019,9.7,11,17.2,3.79,4,na,LH
C04,W,7/10/2019,20.1,11.6,4,13.54,3,na,LH
C04,W,7/10/2019,9.4,8.1,5.8,4.13,3,na,LH
C04,W,7/10/2019,19.6,8.5,4.3,6.06,5,na,LH
C04,W,7/10/2019,10.3,8,4.7,8.28,3,na,LH
C04,W,7/10/2019,12.8,9.9,4.5,10.46,3,na,LH
C04,W,7/10/2019,21.5,16,3.4,13.11,3,na,LH
C04,W,7/10/2019,20.2,19,15.1,1.83,5,na,LH
C04,W,7/10/2019,10.6,9.4,9,1.6,4,na,LH
C04,W,7/10/2019,11.1,8.3,3.4,8.59,2,na,LH
C04,W,7/10/2019,15.9,12.1,3,13.72,2,na,LH
C04,W,7/10/2019,15.4,10.5,3.6,10.82,4,na,LH
C04,W,7/10/2019,9.9,8.4,5,6.79,4,na,LH
C04,W,7/10/2019,9.1,10.7,11,2.21,5,na,LH
C04,W,7/10/2019,9.5,14.7,17.1,2.77,5,na,LH
C04,W,7/10/2019,17.9,20.1,22.6,3.31,4,na,LH
C04,W,7/10/2019,14.2,11,8.7,10.18,3,na,LH
C04,W,7/10/2019,11.7,9.3,3.5,11.34,3,na,LH
C04,W,7/10/2019,10.1,8.9,2.2,14.39,2,na,LH
C04,W,7/10/2019,9.2,8,4.7,10.35,1,1460,LH
C04,W,7/10/2019,6.4,8.8,12.1,4.18,4,na,LH
C04,W,7/10/2019,6.4,11.5,13.1,10.41,2,na,LH
C04,W,7/10/2019,16.3,14.1,13.8,10.48,5,na,LH
C04,E,7/10/2019,11.4,8.8,2,11.72,2,na,LH
C04,E,7/10/2019,12.1,10,4.4,10.91,3,na,LH
C04,E,7/10/2019,16,11.7,7.1,11.04,3,na,LH
C04,E,7/10/2019,14.2,9.8,3.7,6.78,3,na,LH
C04,E,7/10/2019,9.4,8,4.9,5.37,3,na,LH
C04,E,7/10/2019,16.1,10.4,4.3,11.23,3,na,LH
C04,E,7/10/2019,12.9,10.3,3.2,7.11,3,na,LH
C04,E,7/10/2019,12.1,10,4,9.61,4,na,LH
C04,E,7/10/2019,23.6,16.5,7.9,11.54,3,na,LH
C04,E,7/10/2019,9.2,8.8,5.1,6.67,4,na,LH
C04,E,7/10/2019,19,12.7,4.1,15.62,3,na,LH
C04,E,7/10/2019,19.2,10.4,4.3,11.35,4,na,LH
C04,E,7/10/2019,13.6,9.6,2.8,8.04,3,na,LH
C04,E,7/10/2019,1.6,9.1,6,11.37,4,na,LH
C04,E,7/10/2019,12.6,12.9,12.3,1.24,4,na,LH
C04,E,7/10/2019,20.7,17.8,8.1,7.7,4,na,LH
C04,E,7/10/2019,17.8,12.6,7.4,8.48,3,na,LH
C04,E,7/10/2019,24.6,23.6,17.1,3.27,5,na,LH
C04,E,7/10/2019,20.5,15.7,6.7,16.15,3,na,LH
C04,E,7/10/2019,22.7,14.8,3,9.79,1,na,LH
C04,E,7/10/2019,10.5,11.3,16.5,4.08,4,na,LH
C04,E,7/10/2019,30.1,23.2,9,13.15,3,na,LH
C04,E,7/10/2019,11.7,11.2,5,12.27,2,1533,LH
C04,E,7/10/2019,19.8,10.6,5.2,9,3,na,LH
C01,W,7/11/2019,30.6,17.5,19.7,6.1,4,na,AB
C01,W,7/11/2019,20.9,22,18,1.77,4,na,AB
C01,W,7/11/2019,16.4,15.3,16.9,1.43,5,na,AB
C01,W,7/11/2019,11.5,14.9,15.9,1.45,5,na,AB
C01,W,7/11/2019,11.3,10.7,12.7,1.32,5,na,AB
C01,W,7/11/2019,12.6,12.7,8.1,1.87,3,na,AB
C01,W,7/11/2019,11,10.9,3.6,5.56,4,na,AB
C01,W,7/11/2019,12.6,22.1,30,2.19,5,na,AB
C01,W,7/11/2019,6,16.6,2.6,6.46,4,na,AB
C01,W,7/11/2019,7.5,13,18,3.31,5,na,AB
C01,W,7/11/2019,5,9,13,2.74,5,na,AB
C01,W,7/11/2019,35.4,28.5,13.4,10.47,3,na,AB
C01,W,7/11/2019,17.7,15.2,16,1.87,3,na,AB
C01,W,7/11/2019,12.2,14.1,13.5,0.94,4,na,AB
C01,W,7/11/2019,11.3,14.6,13.9,2.69,3,na,AB
C01,W,7/11/2019,14.3,13,14.5,1.17,2,na,AB
C01,W,7/11/2019,12.3,11.3,14.2,1.93,3,na,AB
C01,W,7/11/2019,21,19.9,11,3.1,5,na,AB
C01,W,7/11/2019,7.8,9.9,8.6,1.05,3,na,AB
C01,W,7/11/2019,14,17,16.5,1.04,4,na,AB
C01,W,7/11/2019,13.7,15.5,15,0.96,4,na,AB
C01,W,7/11/2019,10.1,11,9.8,1.03,3,na,AB
C01,W,7/11/2019,15,13.4,13.5,0.8,4,na,AB
C01,W,7/11/2019,10.6,12.5,7.9,2.41,3,na,AB
C01,W,7/11/2019,15.2,15,16,1.65,3,na,AB
C01,W,7/11/2019,13.5,12.9,15.5,1.59,5,na,AB
C01,W,7/11/2019,13.9,14.2,14.5,6.15,3,na,AB
C01,W,7/11/2019,10,12.5,12.5,3.08,3,na,AB
C01,W,7/11/2019,10.3,9.2,8.5,2.43,2,na,AB
C01,W,7/11/2019,10.8,11.4,12.5,0.85,5,na,AB
C01,W,7/11/2019,10.3,8.1,10,1.03,5,na,AB
C01,W,7/11/2019,20,24.5,28,2.53,4,na,AB
C01,W,7/11/2019,17.5,13.4,16,1.02,4,na,AB
C01,W,7/11/2019,16.5,17.8,16.9,5,4,na,AB
C01,W,7/11/2019,18,18.5,17.5,1.09,4,na,AB
C01,W,7/11/2019,12,12.1,9.3,1.09,5,na,AB
C01,W,7/11/2019,19.5,14.5,18,3.16,5,na,AB
C01,W,7/11/2019,10.6,15.8,21.5,10.52,4,na,AB
C01,W,7/11/2019,8.2,13.2,14,2.05,5,na,AB
C01,E,7/11/2019,4.1,8,10.3,9.35,3,na,LH
C01,E,7/11/2019,16.3,13.7,12.3,4.28,4,na,LH
C01,E,7/11/2019,42.9,22.7,13.8,11.09,3,na,LH
C01,E,7/11/2019,8.4,8.2,2.2,9.34,3,na,LH
C01,E,7/11/2019,9.9,10.1,9.1,2.42,4,na,LH
C01,E,7/11/2019,11.9,13.4,20,2.1,4,na,LH
C01,E,7/11/2019,14.4,11.8,6.7,2.75,5,na,LH
C01,E,7/11/2019,10.5,12.2,14.8,5.07,5,na,LH
C01,E,7/11/2019,9.4,8,2.1,8.96,3,na,LH
C01,E,7/11/2019,18.9,22.1,28.4,6.98,3,na,LH
C01,E,7/11/2019,16.9,11,10.5,2.49,4,na,LH
C01,E,7/11/2019,15.3,12,6.9,4.65,4,na,LH
C01,E,7/11/2019,19.7,21.9,24.2,5.24,3,na,LH
C01,E,7/11/2019,15.2,16.4,14.3,4.9,4,na,LH
C01,E,7/11/2019,12,15.3,17.2,3.72,5,na,LH
C01,E,7/11/2019,19.3,15,14.1,1.61,3,na,LH
C01,E,7/11/2019,10,14.2,14.2,3.6,3,na,LH
C01,E,7/11/2019,10.2,15.5,21,2.66,4,na,LH
C01,E,7/11/2019,15.2,20.8,26.1,8.43,3,na,LH
C01,E,7/11/2019,16,14.3,14.1,1.98,5,na,LH
C01,E,7/11/2019,28.4,22.4,17.1,2.74,4,na,LH
C01,E,7/11/2019,11.9,10.6,11,6.67,4,na,LH
C01,E,7/11/2019,35,29.2,24.5,9.69,3,na,LH
C01,E,7/11/2019,14.4,22,16.7,3.33,4,na,LH
C01,E,7/11/2019,26,21.6,19.4,5.72,3,na,LH
C01,E,7/11/2019,15.9,14.6,15,3.78,5,na,LH
C01,E,7/11/2019,19.7,16.7,14,2.03,3,na,LH
C01,E,7/11/2019,26.5,25,9.1,15.9,3,na,LH
C01,E,7/11/2019,13.6,10.7,4.1,11.89,3,na,LH
C01,E,7/11/2019,10.2,8.5,4.1,9.7,3,na,LH
C01,E,7/11/2019,14.8,12.7,5.2,13.55,3,na,LH
C01,E,7/11/2019,26.4,24.5,15.2,14.64,2,770,LH
C01,E,7/11/2019,17.4,18,10.7,3.46,5,na,LH
B02,E,7/11/2019,10,8.8,3.7,9.61,2,na,AB
B02,E,7/11/2019,27.3,33.2,25.3,2.95,5,na,AB
B02,E,7/11/2019,11.3,9.5,8.4,2.43,3,na,AB
B02,E,7/11/2019,8,8.5,10,1.05,3,na,AB
B02,E,7/11/2019,10.6,8.2,3.2,11.76,2,na,AB
B02,E,7/11/2019,15.8,18,18.3,1.51,4,na,AB
B02,E,7/11/2019,18,15,11,0.56,4,na,AB
B02,E,7/11/2019,23.5,18.5,16.3,6.3,5,na,AB
B02,E,7/11/2019,20.1,20.1,20.8,2.95,5,na,AB
B02,E,7/11/2019,11.5,15,9,4.52,3,na,AB
B02,E,7/11/2019,9.3,31.2,42.1,17.42,3,na,AB
B02,E,7/11/2019,22,32.3,13.3,11.6,3,na,AB
B02,E,7/11/2019,6.7,10.2,11.3,6.5,2,na,AB
B02,E,7/11/2019,5,8.5,8.8,0.95,4,na,AB
B02,E,7/11/2019,11.6,12.7,9,1.58,4,na,AB
B02,E,7/11/2019,10.3,10.3,5,4.79,3,na,AB
B02,E,7/11/2019,5.3,14.5,16,3.1,4,na,AB
B02,E,7/11/2019,17.5,22,21,2.3,4,na,AB
B02,E,7/11/2019,8.4,10.3,3.5,11.24,2,na,AB
B02,E,7/11/2019,14.7,23.9,10.9,5.84,4,na,AB
B02,E,7/11/2019,2.3,8.2,10.4,13.43,3,na,AB
B02,E,7/11/2019,9.4,8.7,7.52,6.2,2,na,AB
B02,E,7/11/2019,5,8,8.5,2.64,3,na,AB
B02,E,7/11/2019,15,14,17.9,3.95,4,na,AB
B02,E,7/11/2019,11.1,10.5,12,2.44,4,na,AB
B02,W,7/12/2019,9.9,8.1,4.2,8.24,3,na,LH
B02,W,7/12/2019,17.3,21.1,27.4,13.3,4,na,LH
B02,W,7/12/2019,17.6,23.2,25,3.15,3,na,LH
B02,W,7/12/2019,20.6,19.6,20.8,1.23,3,na,LH
B02,W,7/12/2019,30.1,24.4,20.3,8.14,5,na,LH
B02,W,7/12/2019,17.6,18.3,20.9,4.64,3,na,LH
B02,W,7/12/2019,14,12.1,8.9,3.59,3,na,LH
B02,W,7/12/2019,23.1,18,20.3,6.68,4,na,LH
B02,W,7/12/2019,13.6,11.5,9.3,4.22,4,na,LH
B02,W,7/12/2019,19.6,18,15.3,2.47,4,na,LH
B02,W,7/12/2019,20.4,16.9,16,1.33,3,na,LH
B02,W,7/12/2019,19.7,19,17.8,3.59,4,na,LH
B02,W,7/12/2019,20.1,23.2,24,7.38,4,na,LH
B02,W,7/12/2019,16.3,17.1,21.8,3.16,5,na,LH
B02,W,7/12/2019,9.9,18.7,24.5,3.72,5,na,LH
B02,W,7/12/2019,21.6,17.4,20.1,4.08,4,na,LH
B02,W,7/12/2019,27.3,18.4,13.1,16.42,2,na,LH
B02,W,7/12/2019,23.9,25.5,28,3.73,5,na,LH
B02,W,7/12/2019,20,25.9,30.7,11.07,3,1805,LH
B02,W,7/12/2019,25.4,21.1,19.1,1.88,4,na,LH
B02,W,7/12/2019,17.9,18.8,17.4,3.74,3,na,LH
B02,W,7/12/2019,17.1,14.1,13.3,10.17,3,na,LH
B01,E,7/12/2019,39.2,33,27.9,4.89,3,na,AB
B01,E,7/12/2019,24.8,29.3,31,3.22,3,na,AB
B01,E,7/12/2019,10.8,27,23,11.32,3,1705,AB
B01,E,7/12/2019,4.1,11,12.8,2.7,2,na,AB
B01,E,7/12/2019,2,8.8,4.5,10.4,2,na,AB
B01,E,7/12/2019,2.7,13,18.6,12.33,3,na,AB
B01,E,7/12/2019,11.6,16.4,19,7.75,4,na,AB
B01,E,7/12/2019,21.4,18.4,16.9,6.37,3,na,AB
B01,E,7/12/2019,10,10,6.7,4.07,3,na,AB
B01,E,7/12/2019,2,9.1,9.5,6.1,3,na,AB
B01,E,7/12/2019,12.5,9.5,3.4,6.55,2,na,AB
B01,E,7/12/2019,4,11,15,11.22,2,na,AB
B01,E,7/12/2019,8,14,14.9,3.26,5,na,AB
B01,E,7/12/2019,12.4,11.5,9.9,1.83,3,na,AB
B01,E,7/12/2019,13,11.7,8,10.1,4,na,AB
B01,E,7/12/2019,12.7,9.7,5,4.45,4,na,AB
B01,E,7/12/2019,28,64,35,3.43,5,na,AB
B01,E,7/12/2019,4.3,10.5,8.4,1.35,3,na,AB
B01,W,7/12/2019,13.6,11.1,4,16.53,2,na,AS
B01,W,7/12/2019,16.5,12.2,7,13.13,3,na,AS
B01,W,7/12/2019,10.9,10.4,2.7,13.06,3,na,AS
B01,W,7/12/2019,16.5,17.1,12.6,5.36,4,na,AS
B01,W,7/12/2019,14,13.6,12,2.41,4,na,AS
B01,W,7/12/2019,21.2,17.4,8.7,20.07,3,na,AS
B01,W,7/12/2019,9.6,11.9,13.5,7.62,2,na,AS
B01,W,7/12/2019,19.1,20.2,15.2,5.56,5,na,AS
B01,W,7/12/2019,18.2,14.7,4.2,19.49,2,na,AS
B01,W,7/12/2019,9.7,8,4.5,11.55,2,na,AS
B01,W,7/12/2019,21.1,22.1,31.8,16.78,4,na,AS
B01,W,7/12/2019,8.2,11.7,12,4.7,2,na,AS
B01,W,7/12/2019,11.1,11.4,12.4,2.31,2,na,AS
B01,W,7/12/2019,12.6,9.5,11.3,3.03,3,na,AS
B01,W,7/12/2019,25.1,25.9,35.1,10.43,1,1625,AS
B01,W,7/12/2019,29.5,25.7,23.4,3.99,5,na,AS
B01,W,7/12/2019,30,28.6,15.3,8.7,4,na,AS
B01,W,7/12/2019,12.8,13.4,12.5,1.71,4,na,AS
B01,W,7/12/2019,13.8,12.7,6,2.5,4,na,AS
B01,W,7/12/2019,19.5,15.3,15.7,0.73,4,na,AS
C02,W,7/15/2019,17.1,15,15.1,10.82,4,na,AB
C02,W,7/15/2019,13.8,16,16.7,9.02,3,na,AB
C02,W,7/15/2019,15.2,13.1,13.2,6.57,5,na,AB
C02,W,7/15/2019,17.1,13.3,10.7,8.25,5,na,AB
C02,W,7/15/2019,11.2,12,14.6,3,4,na,AB
C02,W,7/15/2019,9.1,8.2,3.4,6.02,3,na,AB
C02,W,7/15/2019,9.3,11.7,12.4,4.52,3,na,AB
C02,W,7/15/2019,14.2,14.7,15.2,6.21,4,na,AB
C02,W,7/15/2019,18.4,18.4,12.7,9.99,3,na,AB
C02,W,7/15/2019,13,17.2,16.8,10.14,4,na,AB
C02,W,7/15/2019,12.5,13.5,14,1.31,4,na,AB
C02,W,7/15/2019,8.6,7.2,3.1,6.28,3,954,AB
C02,W,7/15/2019,13.1,11.7,12.5,1.14,3,na,AB
C02,W,7/15/2019,11,11.1,11.6,1.85,3,na,AB
C02,W,7/15/2019,16.5,15.5,15,2.97,3,na,AB
C02,W,7/15/2019,12.2,12.7,11.1,3.13,4,na,AB
C02,W,7/15/2019,10.8,10.1,9.3,1.06,4,na,AB
C02,W,7/15/2019,13.2,10,12,2.92,5,na,AB
C02,W,7/15/2019,13.6,15.6,17.9,7.43,3,na,AB
C02,W,7/15/2019,21.5,23.4,32,6.85,5,na,AB
C02,W,7/15/2019,20.6,25.5,22.6,2.14,5,na,AB
C02,W,7/15/2019,3.2,8,13.4,7.18,1,na,AB
C02,W,7/15/2019,13.1,11.6,10.1,3.64,4,na,AB
C02,W,7/15/2019,17.6,16.6,20,2.95,5,na,AB
C02,W,7/15/2019,6,9.4,8.3,5.72,4,na,AB
C02,W,7/15/2019,12.5,10.7,7.9,6.98,3,na,AB
C02,W,7/15/2019,16.7,14.2,7.2,4,5,na,AB
C02,W,7/15/2019,11.9,13.4,19.5,5.71,4,na,AB
C02,W,7/15/2019,6.7,8.7,9.3,4.71,5,na,AB
C02,W,7/15/2019,10.5,9.7,7,4.11,5,na,AB
C02,W,7/15/2019,13.5,11.6,14.5,4.83,4,na,AB
C02,W,7/15/2019,12,9,10.7,4.54,4,na,AB
C02,W,7/15/2019,11.8,10.1,11.4,3.93,3,na,AB
B04,W,7/16/2019,12.5,17.7,12.1,5.66,4,na,AB
B04,W,7/16/2019,22.4,16.4,14.5,1.37,5,na,AB
B04,W,7/16/2019,27.5,25.5,15.7,3.91,4,na,AB
B04,W,7/16/2019,16,19,17,1.42,3,na,AB
B04,W,7/16/2019,25,23.7,22,1.91,3,na,AB
B04,W,7/16/2019,10.3,9.5,11.5,1.36,3,na,AB
B04,W,7/16/2019,12.6,10.6,4.5,2.49,3,na,AB
B04,W,7/16/2019,16,24.1,32,2.87,5,na,AB
B04,W,7/16/2019,18.4,27,34.5,11.57,3,na,AB
B04,W,7/16/2019,27.7,28,31.9,5.3,5,na,AB
B04,W,7/16/2019,14.5,13.5,13.7,1.62,4,na,AB
B04,W,7/16/2019,21.5,20.7,18,5.24,3,na,AB
B04,W,7/16/2019,21.3,23.8,14,16.4,3,na,AB
B04,W,7/16/2019,18.3,11.5,11.3,1.72,3,na,AB
B04,W,7/16/2019,17,17.3,20.3,2.15,3,na,AB
B04,W,7/16/2019,16.9,14.6,13.8,1.85,3,na,AB
B04,W,7/16/2019,11,9.2,3.8,6.32,2,na,AB
B04,W,7/16/2019,28.4,15.5,18,10.36,4,na,AB
B04,W,7/16/2019,7.1,8.5,8.6,2.12,3,2175,AB
B04,W,7/16/2019,9.7,12.6,24.5,2.34,5,na,AB
B04,W,7/16/2019,12.8,14,7.6,2.19,3,na,AB
B04,W,7/16/2019,11,10,9,7.11,4,na,AB
B04,W,7/16/2019,13,27,9.1,38.4,3,na,AB
