"subplot_id","nested_subplot","species","basal_diameter_cm","height_budscar_cm","height_total_cm","date"
"C02W",6,"ACRU","0-1",7.3,8.5,"2020-07-30"
"C02W",8,"AMEL","0-1",23,23.5,"2020-07-30"
"C02W",8,"ACRU","0-1",1.5,4,"2020-07-30"
"C02W",8,"AMEL","0-1",6,14.3,"2020-07-30"
"C02W",8,"ACPE","0-1",11,20.5,"2020-07-30"
"C02W",8,"ACPE","0-1",8.5,10.7,"2020-07-30"
"C02W",8,"ACRU","0-1",5.3,5.5,"2020-07-30"
"C02W",2,"ACRU","0-1",2.5,10.5,"2020-07-30"
"C02W",2,"ACPE","0-1",40.8,74.7,"2020-07-30"
"C02W",2,"AMEL","0-1",11.1,16.1,"2020-07-30"
"C02W",2,"AMEL","0-1",12.9,13.3,"2020-07-30"
"C02W",2,"ACRU","0-1",0,5.9,"2020-07-30"
"C02W",2,"ACRU","0-1",4.5,5.6,"2020-07-30"
"C02W",2,"ACPE","0-1",10.5,11.4,"2020-07-30"
"C02W",2,"QURU","0-1",14.3,15.4,"2020-07-30"
"C02W",4,"ACRU","0-1",6.5,7.1,"2020-07-30"
"C02W",4,"ACPE","0-1",18.3,19.6,"2020-07-30"
"C02W",4,"ACPE","0-1",19,20.3,"2020-07-30"
"C02W",4,"PIST","0-1",29.1,30.4,"2020-07-30"
"C02W",4,"ACRU","0-1",3.5,4.1,"2020-07-30"
"C02W",4,"ACRU","0-1",4.2,5.5,"2020-07-30"
"C02E",6,"ACRU","0-1",3.7,4.7,"2020-07-30"
"C02E",6,"ACRU","0-1",3.8,4.3,"2020-07-30"
"C02E",6,"ACRU","0-1",1.7,3.4,"2020-07-30"
"C02E",6,"ACRU","0-1",7.5,8.5,"2020-07-30"
"C02E",6,"ACRU","0-1",2.7,7,"2020-07-30"
"C02E",6,"AMEL","0-1",0,11.4,"2020-07-30"
"C02E",6,"QURU","0-1",8.6,9.6,"2020-07-30"
"C02E",6,"ACRU","0-1",7,7.6,"2020-07-30"
"C02E",6,"ACRU","0-1",3.5,4.1,"2020-07-30"
"C02E",6,"ACRU","0-1",8.3,8.5,"2020-07-30"
"C02E",8,"ACRU","0-1",6.5,7.6,"2020-07-30"
"C02E",8,"ACRU","0-1",0,2.9,"2020-07-30"
"C02E",8,"ACRU","0-1",0,4.6,"2020-07-30"
"C02E",8,"ACRU","0-1",5.5,7.5,"2020-07-30"
"C02E",8,"ACPE","0-1",16.5,17.5,"2020-07-30"
"C02E",8,"ACRU","0-1",5.5,6.1,"2020-07-30"
"C02E",8,"AMEL","0-1",12.1,12.4,"2020-07-30"
"C02E",2,"AMEL","0-1",9,9.1,"2020-07-30"
"C02E",2,"AMEL","0-1",7.5,7.7,"2020-07-30"
"C02E",2,"AMEL","0-1",20.1,20.5,"2020-07-30"
"C02E",2,"ACRU","0-1",13.2,13.4,"2020-07-30"
"C01W",6,"ACRU","0-1",8.5,8.9,"2020-07-30"
"C01W",8,"ACRU","0-1",4,4.3,"2020-07-30"
"C01W",8,"FAGR","0-1",65.4,66.2,"2020-07-30"
"C01W",8,"FAGR","2-Jan",131,137.9,"2020-07-30"
"C01W",2,"PIST","2-Jan",5.4,6.1,"2020-07-30"
"C01W",2,"ACRU","0-1",4.4,4.6,"2020-07-30"
"C01W",2,"ACRU","0-1",5.1,5.3,"2020-07-30"
"C01W",4,"ACRU","0-1",5.8,6,"2020-07-30"
"C01W",4,"ACRU","0-1",8.5,9.2,"2020-07-30"
"C01W",4,"ACRU","0-1",23.1,24.4,"2020-07-30"
"C01W",4,"ACRU","0-1",26,26.4,"2020-07-30"
"C01W",4,"AMEL","0-1",56.2,57.4,"2020-07-30"
"C01W",4,"AMEL","0-1",7.1,7.3,"2020-07-30"
"C01W",4,"ACRU","0-1",69,70,"2020-07-30"
"C01W",4,"ACRU","0-1",7.5,7.5,"2020-07-30"
"C01E",8,"ACRU","0-1",5.8,5.9,"2020-07-30"
"C01E",8,"ACRU","0-1",19.6,19.8,"2020-07-30"
"C01E",8,"ACRU","0-1",6.7,7.1,"2020-07-30"
"C01E",8,"ACRU","0-1",4.5,6.4,"2020-07-30"
"C01E",8,"ACRU","0-1",5.6,6,"2020-07-30"
"C01E",8,"ACRU","0-1",4,5.4,"2020-07-30"
"C01E",6,"ACRU","0-1",4,4.7,"2020-07-30"
"C01E",6,"ACRU","0-1",8.5,8.7,"2020-07-30"
"C01E",6,"ACRU","0-1",5.5,6.2,"2020-07-30"
"C01E",6,NA,"0-1",0,13.9,"2020-07-30"
"C01E",6,NA,"0-1",0,5.5,"2020-07-30"
"C01E",6,"AMEL","0-1",62.4,62.8,"2020-07-30"
"C01E",4,"ACRU","0-1",3.5,3.9,"2020-07-30"
"C01E",4,"ACRU","0-1",4.1,5.5,"2020-07-30"
"C01E",4,"ACRU","0-1",3.6,4,"2020-07-30"
"C01E",2,"ACRU","0-1",8.3,8.5,"2020-07-30"
"C01E",2,"ACRU","0-1",5.1,5.2,"2020-07-30"
"C01E",2,"ACRU","0-1",5,5.7,"2020-07-30"
"C01E",2,"ACRU","0-1",7.2,7.8,"2020-07-30"
"C01E",2,"ACRU","0-1",4,4.9,"2020-07-30"
"C01E",2,"ACRU","0-1",2.5,2.7,"2020-07-30"
"C01E",2,"ACRU","0-1",5,5.5,"2020-07-30"
"C01E",2,"ACRU","0-1",6,6.4,"2020-07-30"
"C01E",2,"ACRU","0-1",4.5,5.3,"2020-07-30"
"C01E",2,"ACRU","0-1",3.5,4,"2020-07-30"
"C02W",6,"ACRU","0-1",8.5,9.2,"2020-07-30"
"C02W",6,"ACRU","0-1",7.9,8.3,"2020-07-30"
"C04W",6,"ACRU","0-1",4.8,5,"2020-07-30"
"C04W",8,"PIST","0-1",6.9,7.2,"2020-07-30"
"C04W",8,"ACRU","0-1",0,4,"2020-07-30"
"C04W",8,"ACRU","0-1",2.5,3.8,"2020-07-30"
"C04W",8,"ACRU","0-1",5,5.7,"2020-07-30"
"C04W",8,"ACRU","0-1",3.8,4,"2020-07-30"
"C04W",8,"ACPE","0-1",6,6.5,"2020-07-30"
"C04W",2,"ACRU","0-1",5.3,5.7,"2020-07-30"
"C04W",2,"ACRU","0-1",7,8.2,"2020-07-30"
"C04W",2,"ACRU","0-1",5.3,8,"2020-07-30"
"C04W",2,"ACRU","0-1",5,5.6,"2020-07-30"
"C04W",4,"AMEL","0-1",41,41.4,"2020-07-30"
"C04W",4,"PIST","0-1",6.9,8,"2020-07-30"
"C04E",8,"ACRU","0-1",7.5,11.3,"2020-07-30"
"C04E",8,"ACRU","0-1",5,7.7,"2020-07-30"
"C04E",8,"ACRU","0-1",9.5,11.1,"2020-07-30"
"C04E",8,"ACRU","0-1",0,6.8,"2020-07-30"
"C04E",8,"ACRU","0-1",2.6,6,"2020-07-30"
"C04E",8,"ACRU","0-1",8.5,10.5,"2020-07-30"
"C04E",8,"ACRU","0-1",0,6.7,"2020-07-30"
"C04E",8,"ACRU","0-1",6.3,8.5,"2020-07-30"
"C04E",8,"ACRU","0-1",3.3,5.4,"2020-07-30"
"C04E",8,"ACRU","0-1",4.5,7.5,"2020-07-30"
"C04E",8,"ACRU","0-1",4.2,5.6,"2020-07-30"
"C04E",8,"ACRU","0-1",0,3.7,"2020-07-30"
"C04E",8,"ACRU","0-1",5,5.9,"2020-07-30"
"C04E",8,"ACRU","0-1",6,6.8,"2020-07-30"
"C04E",8,"ACRU","0-1",7.2,9.3,"2020-07-30"
"C04E",8,"ACRU","0-1",6.1,8,"2020-07-30"
"C04E",8,"ACRU","0-1",3.5,4.8,"2020-07-30"
"C04E",8,"ACRU","0-1",5.7,6.5,"2020-07-30"
"C04E",8,"ACRU","0-1",7.2,8,"2020-07-30"
"C04E",8,"ACRU","0-1",3.5,6.3,"2020-07-30"
"C04E",8,"ACRU","0-1",6.2,7.6,"2020-07-30"
"C04E",2,"PIST","2-Jan",117,130,"2020-07-30"
"C04E",2,"ACRU","0-1",6,6.5,"2020-07-30"
"C04E",2,"ACRU","0-1",4.5,5.7,"2020-07-30"
"C04E",2,"ACRU","0-1",3,5.9,"2020-07-30"
"C04E",2,"AMEL","0-1",3.5,19,"2020-07-30"
"C04E",2,"AMEL","0-1",39,39.9,"2020-07-30"
"C04E",2,"ACRU","0-1",3.5,4.9,"2020-07-30"
"C04E",2,"AMEL","0-1",1.5,2.5,"2020-07-30"
"C02E",2,"AMEL","0-1",41,41.5,"2020-07-30"
"C02E",2,"ACRU","0-1",4.8,5.9,"2020-07-30"
"C02E",2,"ACRU","0-1",4,10.1,"2020-07-30"
"C02E",4,"ACRU","0-1",6.5,6.8,"2020-07-30"
"C02E",4,"ACRU","0-1",4,4.3,"2020-07-30"
"C02E",4,"ACPE","0-1",27,28.3,"2020-07-30"
"C02E",4,"ACRU","0-1",0,2.9,"2020-07-30"
"C02E",4,"ACPE","0-1",9.6,10.7,"2020-07-30"
"C03W",8,"ACRU","0-1",13,14.3,"2020-07-30"
"C03W",8,"ACPE","0-1",106.8,109.1,"2020-07-30"
"C03W",8,"ACPE","0-1",4.2,5.7,"2020-07-30"
"C03W",8,"ACPE","0-1",40,57.5,"2020-07-30"
"C03W",8,"ACPE","0-1",50.4,51.7,"2020-07-30"
"C03W",6,"ACRU","0-1",15,15.2,"2020-07-30"
"C03W",6,"ACRU","0-1",5.5,5.8,"2020-07-30"
"C03W",6,"ACRU","0-1",2,6.5,"2020-07-30"
"C03W",6,"ACRU","0-1",9.6,12.9,"2020-07-30"
"C03W",6,"QURU","0-1",3.8,6.5,"2020-07-30"
"C03W",4,"ACPE","0-1",4.5,5.6,"2020-07-30"
"C03W",4,"ACRU","0-1",7,7.9,"2020-07-30"
"C03W",4,"ACPE","0-1",5.9,9.5,"2020-07-30"
"C03W",2,"ACRU","0-1",5,7.7,"2020-07-30"
"C03W",2,"ACPE","0-1",5,8.8,"2020-07-30"
"C03W",2,"ACRU","0-1",4.5,5.1,"2020-07-30"
"C03W",2,"ACRU","0-1",4.7,6.8,"2020-07-30"
"C03W",2,"ACPE","0-1",4,9.2,"2020-07-30"
"C03E",8,"AMEL","0-1",20.5,21,"2020-07-30"
"C03E",8,"AMEL","0-1",48,48.2,"2020-07-30"
"C03E",8,"FAGR","0-1",92.6,93.1,"2020-07-30"
"C03E",8,"ACRU","0-1",4.8,7.2,"2020-07-30"
"C03E",6,"ACPE","0-1",17,34.5,"2020-07-30"
"C03E",6,"ACPE","0-1",17.5,19.2,"2020-07-30"
"C03E",6,"ACRU","0-1",4.3,7.7,"2020-07-30"
"C03E",6,"QURU","0-1",9.5,10.1,"2020-07-30"
"C03E",4,"ACRU","0-1",12.5,13.2,"2020-07-30"
"C03E",4,"QURU","0-1",16.5,17,"2020-07-30"
"C03E",4,"ACRU","0-1",6,7.6,"2020-07-30"
"C03E",2,"ACRU","0-1",7.2,10.3,"2020-07-30"
"C03E",2,"ACRU","0-1",0,3.5,"2020-07-30"
"C03E",2,"ACRU","0-1",6,6.6,"2020-07-30"
"C03E",2,"ACPE","0-1",19,24.6,"2020-07-30"
"C04W",6,"ACRU","0-1",3.5,4,"2020-07-30"
"C04E",2,"ACRU","0-1",2.5,5.4,"2020-07-30"
"C04E",2,"ACRU","0-1",10.7,13.8,"2020-07-30"
"C04E",2,"ACRU","0-1",0,7,"2020-07-30"
"C04E",2,"ACRU","0-1",4.5,9.7,"2020-07-30"
"C04E",4,"ACRU","0-1",4,5.1,"2020-07-30"
"C04E",4,"ACRU","0-1",4.2,4.6,"2020-07-30"
"C04E",4,"AMEL","0-1",16,23.2,"2020-07-30"
"C04E",4,"ACRU","0-1",5.6,6.2,"2020-07-30"
"C04E",4,"ACRU","0-1",8,8.6,"2020-07-30"
"C04E",4,"ACRU","0-1",5.7,6.4,"2020-07-30"
"C04E",6,"ACRU","0-1",7.4,8.2,"2020-07-30"
"C04E",6,"ACRU","0-1",5.5,6.3,"2020-07-30"
"D04E",2,"QURU","0-1",20,20.5,"2020-07-30"
"D04E",2,"QURU","0-1",12,14.9,"2020-07-30"
"D04E",2,"ACRU","0-1",0,5.7,"2020-07-30"
"D04E",2,"ACRU","0-1",0,2.5,"2020-07-30"
"D04E",2,"ACRU","0-1",5.5,5.7,"2020-07-30"
"D04E",2,"ACRU","0-1",3.7,4.5,"2020-07-30"
"D04E",2,"ACRU","0-1",3.5,3.9,"2020-07-30"
"D04E",4,"FAGR","3-Feb",182.4,285,"2020-07-30"
"D04E",4,"POGR","0-1",3.5,18.7,"2020-07-30"
"D04E",6,"QURU","0-1",12.7,17.5,"2020-07-30"
"D04E",6,"AMEL","0-1",8.6,10.3,"2020-07-30"
"D04E",6,"AMEL","0-1",12.5,12.7,"2020-07-30"
"D04E",8,"AMEL","0-1",0,4,"2020-07-30"
"D04E",8,"ACRU","0-1",7,7.7,"2020-07-30"
"D04E",8,"ACRU","0-1",10.7,12,"2020-07-30"
"D04E",8,"ACRU","0-1",2,4.8,"2020-07-30"
"D04E",8,"AMEL","0-1",9.5,9.8,"2020-07-30"
"D04E",8,"ACRU","0-1",35,35.8,"2020-07-30"
"D04E",8,"AMEL","0-1",15,16,"2020-07-30"
"D04E",8,"ACRU","0-1",15.7,16.1,"2020-07-30"
"D04E",8,"AMEL","0-1",5.5,8.1,"2020-07-30"
"D04E",8,"AMEL","0-1",13.6,14.9,"2020-07-30"
"D04E",8,"ACRU","0-1",3.9,4.7,"2020-07-30"
"D04E",8,"ACRU","0-1",11.1,11.5,"2020-07-30"
"D04E",8,"POGR","0-1",30,34,"2020-07-30"
"D04E",8,"ACPE","0-1",5,6.2,"2020-07-30"
"D04E",8,"AMEL","0-1",16.8,17.2,"2020-07-30"
"D04E",8,"AMEL","0-1",8.9,10.7,"2020-07-30"
"D04E",8,"AMEL","0-1",16.2,16.5,"2020-07-30"
"D04E",8,"AMEL","0-1",9,9.9,"2020-07-30"
"D04W",2,"ACRU","0-1",5.6,6.8,"2020-07-30"
"D04W",2,"ACRU","0-1",10,11.9,"2020-07-30"
"D04W",2,"ACRU","0-1",18,19.1,"2020-07-30"
"D04W",2,"ACRU","0-1",18.5,20,"2020-07-30"
"D04W",2,"AMEL","0-1",2.5,5,"2020-07-30"
"D04W",2,"AMEL","0-1",0,6.3,"2020-07-30"
"D04W",2,"ACRU","0-1",30.8,35.9,"2020-07-30"
"D04W",2,"ACRU","0-1",21.1,23,"2020-07-30"
"D04W",2,"PIST","0-1",10.7,14.2,"2020-07-30"
"D04W",2,"ACRU","0-1",18.5,19.5,"2020-07-30"
"D04W",2,"ACRU","0-1",8.2,8.5,"2020-07-30"
"D04W",4,"ACRU","0-1",25,28.9,"2020-07-30"
"D04W",4,"ACRU","0-1",6.5,8,"2020-07-30"
"D04W",6,"ACRU","0-1",6.9,8.7,"2020-07-30"
"D04W",6,"ACRU","0-1",7.1,8.1,"2020-07-30"
"D04W",6,"ACRU","0-1",23.2,24.1,"2020-07-30"
"D04W",6,"ACRU","0-1",9,9.8,"2020-07-30"
"D04W",6,"ACRU","0-1",7.5,8.9,"2020-07-30"
"D04W",6,"ACRU","0-1",7,7.7,"2020-07-30"
"D04W",6,"ACRU","0-1",4.5,5.2,"2020-07-30"
"D04W",6,"ACRU","0-1",11,11.8,"2020-07-30"
"D04W",8,"ACRU","0-1",9.9,13.2,"2020-07-30"
"D04W",8,"ACRU","0-1",5.9,7.8,"2020-07-30"
"D04W",8,"ACRU","0-1",12.9,22.8,"2020-07-30"
"D04W",8,"ACRU","0-1",5.7,8.1,"2020-07-30"
"D04W",8,"ACRU","0-1",7,9.2,"2020-07-30"
"D04W",8,"ACRU","0-1",19,20.1,"2020-07-30"
"D04W",8,"ACRU","0-1",20.5,30.2,"2020-07-30"
"D04W",8,"ACRU","0-1",22,24,"2020-07-30"
"D04W",8,"ACRU","0-1",10.2,15.3,"2020-07-30"
"D04W",8,"AMEL","0-1",14,14.7,"2020-07-30"
"D04W",8,"AMEL","0-1",12.3,12.5,"2020-07-30"
"D04W",8,"AMEL","0-1",6.5,7.7,"2020-07-30"
"D04W",8,"ACRU","0-1",15.5,16.8,"2020-07-30"
"D04W",8,"QURU","0-1",2,5.3,"2020-07-30"
"D04W",8,"ACRU","0-1",6.5,8.2,"2020-07-30"
"D04W",8,"ACRU","0-1",6.1,10.5,"2020-07-30"
"D04W",8,"ACRU","0-1",6,7.9,"2020-07-30"
"D04W",8,"ACRU","0-1",5.7,6.8,"2020-07-30"
"D04W",8,"ACRU","0-1",4.5,5.9,"2020-07-30"
"D04W",8,"ACRU","0-1",6.5,12.6,"2020-07-30"
"D04W",8,"ACRU","0-1",8,8.9,"2020-07-30"
"D04W",8,"ACRU","0-1",8.1,8.6,"2020-07-30"
"D04W",8,"ACRU","0-1",9,12.1,"2020-07-30"
"D04W",8,"ACRU","0-1",7.1,8.7,"2020-07-30"
"D04W",8,"ACRU","0-1",5,5.8,"2020-07-30"
"D04W",8,"ACRU","0-1",7.2,7.6,"2020-07-30"
"D04W",8,"QURU","0-1",3.5,13.3,"2020-07-30"
"D04W",8,"QURU","0-1",26.5,30.4,"2020-07-30"
"D04W",8,"PIST","0-1",103.3,105.4,"2020-07-30"
"D02E",4,"ACRU","0-1",7.5,9,"2020-07-30"
"D02E",4,"AMEL","0-1",8.5,8.7,"2020-07-30"
"D02E",4,"ACRU","0-1",6.5,6.9,"2020-07-30"
"D02E",4,"ACRU","0-1",5.5,6.8,"2020-07-30"
"D02E",4,"PIST","0-1",50.4,52.1,"2020-07-30"
"D02E",4,"PIST","2-Jan",164,164,"2020-07-30"
"D02E",6,"ACRU","0-1",14.5,14.7,"2020-07-30"
"D02E",6,"AMEL","0-1",16,16.1,"2020-07-30"
"D02E",6,"PIST","0-1",68.5,68.5,"2020-07-30"
"D02E",6,"PIST","2-Jan",119,120.4,"2020-07-30"
"D02E",8,"ACRU","0-1",0,6.7,"2020-07-30"
"D02E",8,"ACRU","0-1",0,4.7,"2020-07-30"
"D02E",8,"ACRU","0-1",0,10.3,"2020-07-30"
"D02E",8,"ACRU","0-1",0,5.6,"2020-07-30"
"D02E",8,"PIST","3-Feb",169.2,169.2,"2020-07-30"
"D02E",2,"QURU","0-1",9.8,11.3,"2020-07-30"
"D02E",2,"QURU","0-1",11.5,11.6,"2020-07-30"
"D02E",2,"QURU","0-1",7.5,9.5,"2020-07-30"
"D02E",2,"AMEL","0-1",5,7.3,"2020-07-30"
"D02E",2,"AMEL","0-1",13.5,13.8,"2020-07-30"
"D02E",2,"ACRU","0-1",4.1,6.1,"2020-07-30"
"D02W",2,"AMEL","0-1",54,54.2,"2020-07-30"
"D02W",2,"AMEL","0-1",21,34.2,"2020-07-30"
"D02W",2,"AMEL","0-1",0,9.2,"2020-07-30"
"D02W",2,"ACRU","0-1",7.3,8.5,"2020-07-30"
"D02W",4,"ACRU","0-1",9.8,11.6,"2020-07-30"
"D02W",4,"AMEL","0-1",42.3,43,"2020-07-30"
"D02W",4,"AMEL","0-1",15.5,19.7,"2020-07-30"
"D02W",4,"AMEL","0-1",28.9,29,"2020-07-30"
"D02W",4,"AMEL","0-1",22.5,22.8,"2020-07-30"
"D02W",6,"ACPE","0-1",30.4,31,"2020-07-30"
"D02W",6,"ACPE","0-1",33.1,36.5,"2020-07-30"
"D02W",6,"FAGR","2-Jan",165,193.5,"2020-07-30"
"D02W",8,"PIST","0-1",5.9,8.1,"2020-07-30"
"D02W",8,"PIST","0-1",6.5,8.2,"2020-07-30"
"D02W",8,"PIST","0-1",6.1,7.4,"2020-07-30"
"D03E",8,"POGR","0-1",0,19.5,"2020-07-30"
"D03E",8,"AMEL","0-1",10,10.1,"2020-07-30"
"D03E",8,"ACRU","0-1",0,6.4,"2020-07-30"
"D03E",8,"ACRU","0-1",14.7,15.5,"2020-07-30"
"D03E",8,"AMEL","0-1",10.8,10.8,"2020-07-30"
"D03E",8,"ACRU","0-1",8.7,13.9,"2020-07-30"
"D03E",8,"ACRU","0-1",6.7,8.6,"2020-07-30"
"D03E",8,"AMEL","0-1",0,7.5,"2020-07-30"
"D03E",8,"ACRU","0-1",12,15.4,"2020-07-30"
"D03E",8,"POGR","0-1",0,13.5,"2020-07-30"
"D03E",8,"ACRU","0-1",0,3.5,"2020-07-30"
"D03E",8,"ACRU","0-1",0,5.7,"2020-07-30"
"D03E",2,"ACRU","0-1",0,3.4,"2020-07-30"
"D03E",2,"ACRU","0-1",6,6.5,"2020-07-30"
"D03E",4,NA,"0-1",NA,NA,"2020-07-30"
"D03E",6,"ACRU","0-1",3.7,4.6,"2020-07-30"
"D03E",6,"AMEL","0-1",12,12.8,"2020-07-30"
"D03E",6,"AMEL","0-1",19.5,21.1,"2020-07-30"
"D03E",6,"ACRU","0-1",0,5.9,"2020-07-30"
"D03E",6,"ACRU","0-1",12,13.4,"2020-07-30"
"D03E",6,"ACRU","0-1",12.5,13.4,"2020-07-30"
"D03E",6,"ACRU","0-1",6.8,8.7,"2020-07-30"
"D03E",6,"AMEL","0-1",53.8,54.5,"2020-07-30"
"D03W",2,"ACRU","0-1",5.5,7.1,"2020-07-30"
"D03W",2,"ACRU","0-1",6.5,7,"2020-07-30"
"D03W",2,"ACRU","0-1",8.5,8.9,"2020-07-30"
"D03W",2,"ACRU","0-1",0,5,"2020-07-30"
"D03W",2,"ACRU","0-1",9.3,10.3,"2020-07-30"
"D03W",4,"ACRU","0-1",8,8.5,"2020-07-30"
"D03W",4,"FAGR","0-1",32,34.8,"2020-07-30"
"D03W",4,"PIST","2-Jan",59,60,"2020-07-30"
"D03W",4,"ACRU","0-1",2.5,2.8,"2020-07-30"
"D03W",4,"ACRU","0-1",12.5,13.1,"2020-07-30"
"D03W",4,"ACRU","0-1",7,7.4,"2020-07-30"
"D03W",6,"ACRU","0-1",10.1,11.6,"2020-07-30"
"D03W",6,"POGR","0-1",0,14.5,"2020-07-30"
"D03W",6,"ACRU","0-1",0,3.2,"2020-07-30"
"D03W",6,"ACRU","0-1",5.7,7,"2020-07-30"
"D03W",6,"ACRU","0-1",20,21,"2020-07-30"
"D03W",6,"POGR","0-1",0,23.5,"2020-07-30"
"D03W",8,"ACRU","0-1",15,15.6,"2020-07-30"
"D03W",8,"ACRU","0-1",5.5,6.9,"2020-07-30"
"D03W",8,"ACRU","0-1",15.5,16.3,"2020-07-30"
"D03W",8,"ACRU","0-1",16.4,16.8,"2020-07-30"
"D03W",8,"ACRU","0-1",8.8,9.5,"2020-07-30"
"D03W",8,"ACRU","0-1",13.3,14.2,"2020-07-30"
"D03W",8,"ACRU","0-1",13,13.2,"2020-07-30"
"D03W",8,"ACRU","0-1",12.8,13.1,"2020-07-30"
"D03W",8,"ACRU","0-1",12.5,12.9,"2020-07-30"
"D03W",8,"ACRU","0-1",0,5.8,"2020-07-30"
"D03W",8,"ACRU","0-1",6.5,6.8,"2020-07-30"
"D03W",8,"ACRU","0-1",6,7.7,"2020-07-30"
"D03W",8,"ACRU","0-1",21,22.4,"2020-07-30"
"D03W",8,"ACRU","0-1",12.5,12.9,"2020-07-30"
"D01E",2,NA,"0-1",NA,NA,"2020-07-30"
"D01E",4,"FAGR","0-1",14.5,14.8,"2020-07-30"
"D01E",6,NA,"0-1",NA,NA,"2020-07-30"
"D01E",8,NA,"0-1",NA,NA,"2020-07-30"
"D01W",2,"QURU","0-1",15.5,16,"2020-07-30"
"D01W",2,"ACRU","0-1",9.1,12,"2020-07-30"
"D01W",2,"ACRU","0-1",0,3.4,"2020-07-30"
"D01W",2,"QURU","0-1",4.5,5.5,"2020-07-30"
"D01W",2,"ACRU","0-1",0,4.6,"2020-07-30"
"D01W",2,"ACRU","0-1",6,6.2,"2020-07-30"
