"","replicate","plot","subplot","nested_subplot","nested_subplot_area_m2"
"1","A",1,"E",1,1
"2","A",1,"E",2,1
"3","A",1,"E",3,1
"4","A",1,"E",4,1
"5","A",1,"E",5,1
"6","A",1,"E",6,1
"7","A",1,"E",7,1
"8","A",1,"E",8,1
"9","A",1,"E",9,1
"10","A",2,"E",1,1
"11","A",2,"E",2,1
"12","A",2,"E",3,1
"13","A",2,"E",4,1
"14","A",2,"E",5,1
"15","A",2,"E",6,1
"16","A",2,"E",7,1
"17","A",2,"E",8,1
"18","A",2,"E",9,1
"19","A",3,"E",1,1
"20","A",3,"E",2,1
"21","A",3,"E",3,1
"22","A",3,"E",4,1
"23","A",3,"E",5,1
"24","A",3,"E",6,1
"25","A",3,"E",7,1
"26","A",3,"E",8,1
"27","A",3,"E",9,1
"28","A",4,"E",1,1
"29","A",4,"E",2,1
"30","A",4,"E",3,1
"31","A",4,"E",4,1
"32","A",4,"E",5,1
"33","A",4,"E",6,1
"34","A",4,"E",7,1
"35","A",4,"E",8,1
"36","A",4,"E",9,1
"37","B",1,"E",1,1
"38","B",1,"E",2,1
"39","B",1,"E",3,1
"40","B",1,"E",4,1
"41","B",1,"E",5,1
"42","B",1,"E",6,1
"43","B",1,"E",7,1
"44","B",1,"E",8,1
"45","B",1,"E",9,1
"46","B",2,"E",1,1
"47","B",2,"E",2,1
"48","B",2,"E",3,1
"49","B",2,"E",4,1
"50","B",2,"E",5,1
"51","B",2,"E",6,1
"52","B",2,"E",7,1
"53","B",2,"E",8,1
"54","B",2,"E",9,1
"55","B",3,"E",1,1
"56","B",3,"E",2,1
"57","B",3,"E",3,1
"58","B",3,"E",4,1
"59","B",3,"E",5,1
"60","B",3,"E",6,1
"61","B",3,"E",7,1
"62","B",3,"E",8,1
"63","B",3,"E",9,1
"64","B",4,"E",1,1
"65","B",4,"E",2,1
"66","B",4,"E",3,1
"67","B",4,"E",4,1
"68","B",4,"E",5,1
"69","B",4,"E",6,1
"70","B",4,"E",7,1
"71","B",4,"E",8,1
"72","B",4,"E",9,1
"73","C",1,"E",1,1
"74","C",1,"E",2,1
"75","C",1,"E",3,1
"76","C",1,"E",4,1
"77","C",1,"E",5,1
"78","C",1,"E",6,1
"79","C",1,"E",7,1
"80","C",1,"E",8,1
"81","C",1,"E",9,1
"82","C",2,"E",1,1
"83","C",2,"E",2,1
"84","C",2,"E",3,1
"85","C",2,"E",4,1
"86","C",2,"E",5,1
"87","C",2,"E",6,1
"88","C",2,"E",7,1
"89","C",2,"E",8,1
"90","C",2,"E",9,1
"91","C",3,"E",1,1
"92","C",3,"E",2,1
"93","C",3,"E",3,1
"94","C",3,"E",4,1
"95","C",3,"E",5,1
"96","C",3,"E",6,1
"97","C",3,"E",7,1
"98","C",3,"E",8,1
"99","C",3,"E",9,1
"100","C",4,"E",1,1
"101","C",4,"E",2,1
"102","C",4,"E",3,1
"103","C",4,"E",4,1
"104","C",4,"E",5,1
"105","C",4,"E",6,1
"106","C",4,"E",7,1
"107","C",4,"E",8,1
"108","C",4,"E",9,1
"109","D",1,"E",1,1
"110","D",1,"E",2,1
"111","D",1,"E",3,1
"112","D",1,"E",4,1
"113","D",1,"E",5,1
"114","D",1,"E",6,1
"115","D",1,"E",7,1
"116","D",1,"E",8,1
"117","D",1,"E",9,1
"118","D",2,"E",1,1
"119","D",2,"E",2,1
"120","D",2,"E",3,1
"121","D",2,"E",4,1
"122","D",2,"E",5,1
"123","D",2,"E",6,1
"124","D",2,"E",7,1
"125","D",2,"E",8,1
"126","D",2,"E",9,1
"127","D",3,"E",1,1
"128","D",3,"E",2,1
"129","D",3,"E",3,1
"130","D",3,"E",4,1
"131","D",3,"E",5,1
"132","D",3,"E",6,1
"133","D",3,"E",7,1
"134","D",3,"E",8,1
"135","D",3,"E",9,1
"136","D",4,"E",1,1
"137","D",4,"E",2,1
"138","D",4,"E",3,1
"139","D",4,"E",4,1
"140","D",4,"E",5,1
"141","D",4,"E",6,1
"142","D",4,"E",7,1
"143","D",4,"E",8,1
"144","D",4,"E",9,1
"145","A",1,"W",1,1
"146","A",1,"W",2,1
"147","A",1,"W",3,1
"148","A",1,"W",4,1
"149","A",1,"W",5,1
"150","A",1,"W",6,1
"151","A",1,"W",7,1
"152","A",1,"W",8,1
"153","A",1,"W",9,1
"154","A",2,"W",1,1
"155","A",2,"W",2,1
"156","A",2,"W",3,1
"157","A",2,"W",4,1
"158","A",2,"W",5,1
"159","A",2,"W",6,1
"160","A",2,"W",7,1
"161","A",2,"W",8,1
"162","A",2,"W",9,1
"163","A",3,"W",1,1
"164","A",3,"W",2,1
"165","A",3,"W",3,1
"166","A",3,"W",4,1
"167","A",3,"W",5,1
"168","A",3,"W",6,1
"169","A",3,"W",7,1
"170","A",3,"W",8,1
"171","A",3,"W",9,1
"172","A",4,"W",1,1
"173","A",4,"W",2,1
"174","A",4,"W",3,1
"175","A",4,"W",4,1
"176","A",4,"W",5,1
"177","A",4,"W",6,1
"178","A",4,"W",7,1
"179","A",4,"W",8,1
"180","A",4,"W",9,1
"181","B",1,"W",1,1
"182","B",1,"W",2,1
"183","B",1,"W",3,1
"184","B",1,"W",4,1
"185","B",1,"W",5,1
"186","B",1,"W",6,1
"187","B",1,"W",7,1
"188","B",1,"W",8,1
"189","B",1,"W",9,1
"190","B",2,"W",1,1
"191","B",2,"W",2,1
"192","B",2,"W",3,1
"193","B",2,"W",4,1
"194","B",2,"W",5,1
"195","B",2,"W",6,1
"196","B",2,"W",7,1
"197","B",2,"W",8,1
"198","B",2,"W",9,1
"199","B",3,"W",1,1
"200","B",3,"W",2,1
"201","B",3,"W",3,1
"202","B",3,"W",4,1
"203","B",3,"W",5,1
"204","B",3,"W",6,1
"205","B",3,"W",7,1
"206","B",3,"W",8,1
"207","B",3,"W",9,1
"208","B",4,"W",1,1
"209","B",4,"W",2,1
"210","B",4,"W",3,1
"211","B",4,"W",4,1
"212","B",4,"W",5,1
"213","B",4,"W",6,1
"214","B",4,"W",7,1
"215","B",4,"W",8,1
"216","B",4,"W",9,1
"217","C",1,"W",1,1
"218","C",1,"W",2,1
"219","C",1,"W",3,1
"220","C",1,"W",4,1
"221","C",1,"W",5,1
"222","C",1,"W",6,1
"223","C",1,"W",7,1
"224","C",1,"W",8,1
"225","C",1,"W",9,1
"226","C",2,"W",1,1
"227","C",2,"W",2,1
"228","C",2,"W",3,1
"229","C",2,"W",4,1
"230","C",2,"W",5,1
"231","C",2,"W",6,1
"232","C",2,"W",7,1
"233","C",2,"W",8,1
"234","C",2,"W",9,1
"235","C",3,"W",1,1
"236","C",3,"W",2,1
"237","C",3,"W",3,1
"238","C",3,"W",4,1
"239","C",3,"W",5,1
"240","C",3,"W",6,1
"241","C",3,"W",7,1
"242","C",3,"W",8,1
"243","C",3,"W",9,1
"244","C",4,"W",1,1
"245","C",4,"W",2,1
"246","C",4,"W",3,1
"247","C",4,"W",4,1
"248","C",4,"W",5,1
"249","C",4,"W",6,1
"250","C",4,"W",7,1
"251","C",4,"W",8,1
"252","C",4,"W",9,1
"253","D",1,"W",1,1
"254","D",1,"W",2,1
"255","D",1,"W",3,1
"256","D",1,"W",4,1
"257","D",1,"W",5,1
"258","D",1,"W",6,1
"259","D",1,"W",7,1
"260","D",1,"W",8,1
"261","D",1,"W",9,1
"262","D",2,"W",1,1
"263","D",2,"W",2,1
"264","D",2,"W",3,1
"265","D",2,"W",4,1
"266","D",2,"W",5,1
"267","D",2,"W",6,1
"268","D",2,"W",7,1
"269","D",2,"W",8,1
"270","D",2,"W",9,1
"271","D",3,"W",1,1
"272","D",3,"W",2,1
"273","D",3,"W",3,1
"274","D",3,"W",4,1
"275","D",3,"W",5,1
"276","D",3,"W",6,1
"277","D",3,"W",7,1
"278","D",3,"W",8,1
"279","D",3,"W",9,1
"280","D",4,"W",1,1
"281","D",4,"W",2,1
"282","D",4,"W",3,1
"283","D",4,"W",4,1
"284","D",4,"W",5,1
"285","D",4,"W",6,1
"286","D",4,"W",7,1
"287","D",4,"W",8,1
"288","D",4,"W",9,1
